False: Execution aborted by timeout\ntime=1698857990.609774 gym-duckietown 2019.0.0

time=1698857990.765369 Registering gym environment id: Duckietown-4way-v0
time=1698857990.7654562 Registering gym environment id: Duckietown-ado_map_1-v0
time=1698857990.765495 Registering gym environment id: Duckietown-ado_map_2-v0
time=1698857990.7655632 Registering gym environment id: Duckietown-loop_dyn_duckiebots-v0
time=1698857990.765646 Registering gym environment id: Duckietown-loop_empty-v0
time=1698857990.7656891 Registering gym environment id: Duckietown-loop_obstacles-v0
time=1698857990.7657578 Registering gym environment id: Duckietown-loop_one_duckie-v0
time=1698857990.7658072 Registering gym environment id: Duckietown-loop_only_duckies-v0
time=1698857990.765853 Registering gym environment id: Duckietown-loop_pedestrians-v0
time=1698857990.7658987 Registering gym environment id: Duckietown-small_loop-v0
time=1698857990.7659461 Registering gym environment id: Duckietown-small_loop_cw-v0
time=1698857990.7659929 Registering gym environment id: Duckietown-straight_road-v0
time=1698857990.766041 Registering gym environment id: Duckietown-straight_road_10_tiles_no_start_tile-v0
time=1698857990.7660892 Registering gym environment id: Duckietown-straight_road_no_start_tile-v0
time=1698857990.7661355 Registering gym environment id: Duckietown-straight_road_trafficlight-v0
time=1698857990.7661827 Registering gym environment id: Duckietown-straight_road_with_side_floor-v0
time=1698857990.766231 Registering gym environment id: Duckietown-udem1-v0
time=1698857990.766277 Registering gym environment id: Duckietown-zigzag_dists-v0
time=1698857992.183283 Falling back to non-multisampled frame buffer
time=1698857992.185715 Falling back to non-multisampled frame buffer
time=1698857992.1881769 loading map file "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/maps/loop_one_duckie.yaml"
time=1698857992.1963801 loading mesh "duckiebot.obj"
time=1698857992.1965199 loading materials from "/home/appuser/aido-auto/gym-duckietown/gym_duckietown/meshes/duckiebot.mtl"
time=1698857992.472321 loading mesh "duckie.obj"
time=1698857992.5047965 loading texture "duckie.png"
time=1698857992.8203838 loading texture "floor_1.png"
time=1698857992.896468 loading texture "curve_left_1.png"
time=1698857992.902248 loading texture "straight_1.png"
time=1698857992.9101253 loading texture "curve_right_1.png"
time=1698857992.9177525 using user tile start: (1, 1)
time=1698857992.9182975 tile: {'coords': (1, 1), 'kind': 'curve_left', 'angle': 3, 'drivable': True, 'curves': array([[[1.17  , 0.    , 0.7605],
        [0.8775, 0.    , 0.7605],
        [0.7605, 0.    , 0.8775],
        [0.7605, 0.    , 1.17  ]],

       [[0.9945, 0.    , 1.17  ],
        [0.9945, 0.    , 1.053 ],
        [1.053 , 0.    , 0.9945],
        [1.17  , 0.    , 0.9945]]]), 'texture': <gym_duckietown.graphics.Texture object at 0x7f64101ca978>, 'color': array([1, 1, 1])}
time=1698857992.9191856 road_tile_size=0.585
time=1698857992.9193609 Starting at [0.86045708 0.         1.12744213] 5.3852481192353965
time=1698857992.9195845 Pos: [0.86045708 0.         1.12744213] angle 5.3852481192353965
time=1698857993.0570621 using DuckietownEnv
/usr/local/lib/python3.6/dist-packages/gym/spaces/box.py:74: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  "Box bound precision lowered by casting to {}".format(self.dtype)
time=1698857993.1852212 Pos: [0.86045708 0.         1.12744213] angle 5.3852481192353965
time=1698857993.360818 Pos: [0.86045708 0.         1.12744213] angle 5.3852481192353965
time=1698857993.413613 Pos: [0.86045708 0.         1.12744213] angle 5.422518093612289
time=1698857993.4659605 Pos: [0.86045708 0.         1.12744213] angle 5.459788067989181
time=1698857993.5140622 Pos: [0.86045708 0.         1.12744213] angle 5.497058042366073
time=1698857993.5622308 Pos: [0.86045708 0.         1.12744213] angle 5.534328016742966
time=1698857993.6100352 Pos: [0.86045708 0.         1.12744213] angle 5.571597991119858
time=1698857993.65957 Pos: [0.86045708 0.         1.12744213] angle 5.60886796549675
time=1698857993.7066302 Pos: [0.86045708 0.         1.12744213] angle 5.646137939873642
time=1698857993.7536135 Pos: [0.86045708 0.         1.12744213] angle 5.683407914250535
time=1698857993.8011672 Pos: [0.86045708 0.         1.12744213] angle 5.720677888627427
time=1698857993.8480284 Pos: [0.86045708 0.         1.12744213] angle 5.757947863004319
time=1698857993.8955445 Pos: [0.86045708 0.         1.12744213] angle 5.7952178373812115
time=1698857993.9442108 Pos: [0.86045708 0.         1.12744213] angle 5.832487811758104
time=1698857993.9916258 Pos: [0.86045708 0.         1.12744213] angle 5.869757786134996
time=1698857994.0393755 Pos: [0.86045708 0.         1.12744213] angle 5.907027760511888
time=1698857994.086299 Pos: [0.86045708 0.         1.12744213] angle 5.944297734888781
time=1698857994.13538 Pos: [0.86045708 0.         1.12744213] angle 5.981567709265673
time=1698857994.1828322 Pos: [0.86045708 0.         1.12744213] angle 6.018837683642565
time=1698857994.230113 Pos: [0.86045708 0.         1.12744213] angle 6.0561076580194575
time=1698857994.2763996 Pos: [0.86045708 0.         1.12744213] angle 6.09337763239635
time=1698857994.3224502 Pos: [0.86045708 0.         1.12744213] angle 6.130647606773242
time=1698857994.3691804 Pos: [0.86045708 0.         1.12744213] angle 6.167917581150134
time=1698857994.4151785 Pos: [0.86045708 0.         1.12744213] angle 6.205187555527027
time=1698857994.4614897 Pos: [0.86045708 0.         1.12744213] angle 6.242457529903919
time=1698857994.5087106 Pos: [0.86045708 0.         1.12744213] angle 6.279727504280811
time=1698857994.5545807 Pos: [0.86045708 0.         1.12744213] angle 6.3169974786577034
time=1698857994.60132 Pos: [0.86045708 0.         1.12744213] angle 6.354267453034596
time=1698857994.6468923 Pos: [0.86045708 0.         1.12744213] angle 6.391537427411488
time=1698857994.6955462 Pos: [0.86045708 0.         1.12744213] angle 6.42880740178838
time=1698857994.7416563 Pos: [0.86045708 0.         1.12744213] angle 6.466077376165273
time=1698857994.7879465 Pos: [0.86045708 0.         1.12744213] angle 6.503347350542165
